iter	RMSE
0	14.8695355
1	14.49681624
2	14.11012443
3	13.75242798
4	13.40951463
5	13.07916781
6	12.7616307
7	12.45122454
8	12.21305381
9	11.90478371
10	11.61704525
11	11.37159713
12	11.15239246
13	10.90324595
14	10.66812942
15	10.42180758
16	10.19046244
17	9.974106254
18	9.76338271
19	9.565960492
20	9.3897898
21	9.213812428
22	9.031992572
23	8.863239448
24	8.708568487
25	8.571307248
26	8.42405466
27	8.29004775
28	8.148604909
29	8.023835019
30	7.923337606
31	7.803361687
32	7.700166158
33	7.588432521
34	7.482194887
35	7.385928781
36	7.292603627
37	7.214872834
38	7.132268788
39	7.052790411
40	6.985590365
41	6.928479711
42	6.850012558
43	6.79275605
44	6.72907036
45	6.674528179
46	6.611799685
47	6.555350569
48	6.500228011
49	6.450058404
50	6.405285425
51	6.355980611
52	6.311277082
53	6.263073163
54	6.219366667
55	6.174372368
56	6.138501947
57	6.106615191
58	6.072918929
59	6.042529509
60	6.00763298
61	5.979248977
62	5.94789759
63	5.916940507
64	5.888391301
65	5.862182922
66	5.833656666
67	5.806462821
68	5.788142938
69	5.762483771
70	5.743116714
71	5.719207558
72	5.696226227
73	5.675518724
74	5.657015925
75	5.640698904
76	5.624367082
77	5.609169826
78	5.592471821
79	5.573961757
80	5.559581199
81	5.546843468
82	5.540169266
83	5.528428248
84	5.517098339
85	5.500017573
86	5.484927367
87	5.473860674
88	5.463428218
89	5.451532212
90	5.439457222
91	5.430975008
92	5.422431054
93	5.415141562
94	5.406001191
95	5.395120661
96	5.383916497
97	5.369368183
98	5.360111848
99	5.351167356
100	5.344862113
101	5.339029796
102	5.327581613
103	5.320321788
104	5.312154754
105	5.303937428
106	5.296828544
107	5.290417008
108	5.279814846
109	5.270901445
110	5.26384619
111	5.257342505
112	5.253599688
113	5.247740878
114	5.244169451
115	5.241074816
116	5.230955949
117	5.2258234
118	5.223890069
119	5.214395523
120	5.208127993
121	5.204531065
122	5.197284457
123	5.192080508
124	5.186879583
125	5.179622026
126	5.171051053
127	5.167575539
128	5.161712606
129	5.152567566
130	5.145772325
131	5.139746242
132	5.132582216
133	5.126204062
134	5.124376946
135	5.119587509
136	5.115225476
137	5.110576387
138	5.103904673
139	5.098559245
140	5.09806339
141	5.092133171
142	5.084515895
143	5.080928341
144	5.075253418
145	5.071261438
146	5.067289152
147	5.064885005
148	5.060171124
149	5.054623008
150	5.050102962
151	5.046094754
152	5.039931087
153	5.03775629
154	5.034588438
155	5.031360974
156	5.028589264
157	5.023648093
158	5.020951036
159	5.016700623
160	5.014206373
161	5.010722678
162	5.007729143
163	5.004847821
164	4.999908586
165	4.991956605
166	4.990277473
167	4.985573967
168	4.981003831
169	4.97669411
170	4.973056017
171	4.970197849
172	4.964769218
173	4.962255508
174	4.957422242
175	4.955425218
176	4.952564307
177	4.949986315
178	4.947240698
179	4.944486077
180	4.941002552
181	4.93630956
182	4.93297172
183	4.929668003
184	4.926341103
185	4.924200199
186	4.922053049
187	4.918533685
188	4.911591459
189	4.909874329
190	4.90817423
191	4.904296354
192	4.904019774
193	4.901849545
194	4.899757171
195	4.897478524
196	4.894900429
197	4.892338647
198	4.886192554
199	4.881678875
200	4.877412874
201	4.872723817
202	4.870411805
203	4.867631772
204	4.864622223
205	4.861263441
206	4.85783022
207	4.853898452
208	4.852317964
209	4.849142624
210	4.84365365
211	4.840107848
212	4.838105123
213	4.83774217
214	4.836106854
215	4.833591423
216	4.828639879
217	4.827777456
218	4.824444562
219	4.813907059
220	4.810500835
221	4.806815968
222	4.804894342
223	4.801818989
224	4.797609643
225	4.795780685
226	4.792680109
227	4.789997095
228	4.786876309
229	4.78196209
230	4.778587485
231	4.772169315
232	4.765165247
233	4.761873046
234	4.759240092
235	4.756903374
236	4.755278017
237	4.754443421
238	4.752389591
239	4.749279475
240	4.742597992
241	4.734626605
242	4.730573842
243	4.726182826
244	4.723266923
245	4.721558947
246	4.716417707
247	4.711482155
248	4.709738006
249	4.709267854
250	4.70786946
251	4.705821679
252	4.704887865
253	4.700918564
254	4.700154441
255	4.696813674
256	4.694249321
257	4.690365348
258	4.686137756
259	4.683724007
260	4.682149968
261	4.678876198
262	4.675654362
263	4.673315573
264	4.666371255
265	4.665594218
266	4.663805103
267	4.662921459
268	4.656777907
269	4.656244114
270	4.650696859
271	4.643057499
272	4.641392635
273	4.635876679
274	4.635189361
275	4.630245377
276	4.623844572
277	4.622842189
278	4.619272757
279	4.617612001
280	4.615864164
281	4.610235878
282	4.608673942
283	4.603914246
284	4.603253546
285	4.602595934
286	4.598586268
287	4.595925613
288	4.592012564
289	4.586488126
290	4.585954337
291	4.582300516
292	4.57864916
293	4.576236524
294	4.572808379
295	4.570025841
296	4.566377296
297	4.56159297
298	4.560244632
299	4.558918384
300	4.557315677
301	4.554462502
302	4.55105717
303	4.547821253
304	4.541392308
305	4.537332833
306	4.532644677
307	4.52789938
308	4.5253846
309	4.52157143
310	4.518169627
311	4.513011066
312	4.511083076
313	4.506997274
314	4.50653226
315	4.504533464
316	4.502458977
317	4.499695205
318	4.498999
319	4.495826538
320	4.495177333
321	4.494624634
322	4.491354625
323	4.489984824
324	4.488755326
325	4.486941372
326	4.484452031
327	4.483934933
328	4.481780686
329	4.478625013
330	4.474599716
331	4.4708449
332	4.466968811
333	4.462532728
334	4.460686235
335	4.454828278
336	4.45293447
337	4.451160826
338	4.450664339
339	4.447587187
340	4.444164095
341	4.443647399
342	4.441304369
343	4.436229866
344	4.430540192
345	4.425872139
346	4.421189986
347	4.417277459
348	4.412618642
349	4.412097034
350	4.4104121
351	4.409595534
352	4.408783872
353	4.40840836
354	4.402403313
355	4.39884166
356	4.394990906
357	4.392316053
358	4.386576116
359	4.382459114
360	4.381023092
361	4.378588746
362	4.37352897
363	4.369569543
364	4.367512125
365	4.36352894
366	4.362332357
367	4.358366971
368	4.355469371
369	4.352718271
370	4.350528715
371	4.345841097
372	4.344754717
373	4.344261797
374	4.340174998
375	4.334923151
376	4.3296017
377	4.327542769
378	4.326139569
379	4.32060685
380	4.319080053
381	4.318789179
382	4.31621788
383	4.31213636
384	4.311643349
385	4.309481835
386	4.309059456
387	4.308618923
388	4.308349703
389	4.306057244
390	4.303887104
391	4.302287822
392	4.299042792
393	4.294650468
394	4.291060879
395	4.289609148
396	4.284013623
397	4.281169163
398	4.279086238
399	4.273952611
400	4.269535951
401	4.265535729
402	4.260458721
403	4.258000276
404	4.256610481
405	4.250858115
406	4.24998964
407	4.248734694
408	4.246838374
409	4.243193409
410	4.242857793
411	4.239046951
412	4.235918456
413	4.233891871
414	4.232981872
415	4.229037648
416	4.224354845
417	4.220920553
418	4.220502751
419	4.215258268
420	4.212387538
421	4.212028484
422	4.206381399
423	4.202321766
424	4.198668676
425	4.198367534
426	4.192626739
427	4.189233656
428	4.185480858
429	4.183882352
430	4.180908883
431	4.177578715
432	4.177192409
433	4.176113592
434	4.172595929
435	4.169440653
436	4.168596873
437	4.165251562
438	4.161195851
439	4.156910231
440	4.152884045
441	4.14934148
442	4.148982184
443	4.148246501
444	4.144328731
445	4.142218223
446	4.14060194
447	4.139230363
448	4.137555868
449	4.133657824
450	4.131388258
451	4.128254715
452	4.127697196
453	4.125221226
454	4.120086269
455	4.119586361
456	4.115116328
457	4.114278352
458	4.10807824
459	4.107739678
460	4.105924625
461	4.104098164
462	4.102653851
463	4.099593931
464	4.096215466
465	4.094154087
466	4.091295828
467	4.089261606
468	4.08747931
469	4.082944327
470	4.079693071
471	4.079329486
472	4.079009247
473	4.076505608
474	4.073065543
475	4.069651651
476	4.068629937
477	4.066140049
478	4.06559244
479	4.064145556
480	4.061293588
481	4.058394259
482	4.053885227
483	4.0531907
484	4.050138084
485	4.048295781
486	4.044702355
487	4.041295767
488	4.040138335
489	4.037448068
490	4.037175323
491	4.034336419
492	4.033086007
493	4.032499634
494	4.029162741
495	4.028414703
496	4.026504516
497	4.025644198
498	4.024013625
499	4.021881023
500	4.021177711
501	4.017445523
502	4.01425444
503	4.012858628
504	4.00869794
505	4.007125663
506	4.002444118
507	4.000412236
508	3.999047789
509	3.99589028
510	3.992353608
511	3.988378943
512	3.985484301
513	3.982379499
514	3.981187361
515	3.980947936
516	3.978314518
517	3.976360035
518	3.97551379
519	3.975041223
520	3.971293144
521	3.968539048
522	3.966614522
523	3.964397382
524	3.962176926
525	3.959907443
526	3.958272505
527	3.955237928
528	3.953363744
529	3.951695755
530	3.949122485
531	3.947192456
532	3.945985121
533	3.941319084
534	3.938757284
535	3.936839376
536	3.935613217
537	3.933762658
538	3.932627948
539	3.93241945
540	3.930755047
541	3.927962816
542	3.92772556
543	3.923976511
544	3.920531451
545	3.920115416
546	3.917031619
547	3.916760184
548	3.91630808
549	3.911488432
550	3.911255325
551	3.90978012
552	3.907718409
553	3.903919098
554	3.899254446
555	3.897023042
556	3.89448339
557	3.890850171
558	3.890759043
559	3.887091928
560	3.886797254
561	3.88568389
562	3.885526732
563	3.88534706
564	3.884059846
565	3.880523665
566	3.879587067
567	3.876021864
568	3.873103383
569	3.870987219
570	3.869538402
571	3.868534602
572	3.868347421
573	3.866926677
574	3.865443264
575	3.865304758
576	3.86496345
577	3.860112294
578	3.856595075
579	3.854904794
580	3.852937745
581	3.849351706
582	3.849084154
583	3.846894739
584	3.844566178
585	3.842751666
586	3.842540086
587	3.840728754
588	3.839020831
589	3.837877876
590	3.836254288
591	3.832676919
592	3.829185728
593	3.825788551
594	3.822839322
595	3.82246389
596	3.818363035
597	3.816326296
598	3.816168391
599	3.813542616
600	3.811669058
601	3.808010339
602	3.804951097
603	3.803781421
604	3.801545185
605	3.800366711
606	3.800201983
607	3.796816203
608	3.793396962
609	3.79310133
610	3.792870242
611	3.792344311
612	3.792183796
613	3.79176621
614	3.788258596
615	3.786806178
616	3.78256557
617	3.77919855
618	3.778067896
619	3.77647143
620	3.774613829
621	3.774330865
622	3.77131328
623	3.771072768
624	3.770651648
625	3.767265536
626	3.766698893
627	3.766013725
628	3.762692455
629	3.760728983
630	3.76063281
631	3.76014455
632	3.757510558
633	3.756025136
634	3.754566012
635	3.751572378
636	3.749177325
637	3.745867187
638	3.744161429
639	3.742897683
640	3.741240072
641	3.741031859
642	3.738167863
643	3.73494421
644	3.731667981
645	3.729811376
646	3.72657837
647	3.723740168
648	3.72300696
649	3.721745148
650	3.721145318
651	3.717893825
652	3.717488105
653	3.714745879
654	3.711446552
655	3.708075928
656	3.704752053
657	3.703309024
658	3.700883284
659	3.698736982
660	3.698271067
661	3.69811742
662	3.696643865
663	3.695554561
664	3.694257703
665	3.692764776
666	3.689380572
667	3.687699468
668	3.686952409
669	3.684582369
670	3.681920667
671	3.679232674
672	3.678788356
673	3.676167236
674	3.673774304
675	3.670652553
676	3.667402307
677	3.662701474
678	3.660908705
679	3.660286459
680	3.657245143
681	3.656203894
682	3.652492217
683	3.650443462
684	3.648329204
685	3.646441734
686	3.645234063
687	3.643676941
688	3.642170622
689	3.640360179
690	3.637312712
691	3.634368026
692	3.634055662
693	3.631520866
694	3.630463456
695	3.630264661
696	3.626104353
697	3.623986436
698	3.622648232
699	3.619440826
700	3.618586982
701	3.61756124
702	3.616476545
703	3.615766396
704	3.614310739
705	3.61331153
706	3.611976184
707	3.607282303
708	3.604856698
709	3.602060093
710	3.599559299
711	3.597833534
712	3.597531437
713	3.596602563
714	3.594316984
715	3.589638422
716	3.588748257
717	3.587659614
718	3.585583704
719	3.583171165
720	3.580491404
721	3.577650224
722	3.576184824
723	3.574274433
724	3.57154628
725	3.570043626
726	3.568968816
727	3.5686866
728	3.568369601
729	3.568131497
730	3.56527001
731	3.564944678
732	3.564654257
733	3.56273864
734	3.562534672
735	3.56092388
736	3.560049033
737	3.557420906
738	3.556642499
739	3.556591818
740	3.553600207
741	3.551040421
742	3.547985578
743	3.546047757
744	3.544677117
745	3.541594859
746	3.539064446
747	3.537748778
748	3.537124831
749	3.536154354
750	3.534326289
751	3.533078816
752	3.530529238
753	3.530393532
754	3.529879771
755	3.527898463
756	3.526156504
757	3.525786085
758	3.525157215
759	3.523869794
760	3.521070654
761	3.519863332
762	3.518164037
763	3.51570353
764	3.514126745
765	3.513933078
766	3.51084322
767	3.508649279
768	3.507841017
769	3.505157647
770	3.503493244
771	3.502109588
772	3.500014349
773	3.499615814
774	3.496886154
775	3.49679865
776	3.494650814
777	3.491821083
778	3.489438888
779	3.487642653
780	3.485763123
781	3.482185
782	3.481551038
783	3.478818872
784	3.477524355
785	3.475551989
786	3.473127268
787	3.470834642
788	3.468113965
789	3.466441348
790	3.462731892
791	3.460354966
792	3.460093668
793	3.45977527
794	3.45883286
795	3.457993525
796	3.456577923
797	3.454686551
798	3.453533313
799	3.452939393
800	3.451249977
801	3.449769443
802	3.448898363
803	3.447986141
804	3.444381643
805	3.441797454
806	3.438832098
807	3.43794528
808	3.436634064
809	3.436591651
810	3.435540228
811	3.433502252
812	3.433367375
813	3.432119615
814	3.431764468
815	3.428162541
816	3.42494768
817	3.422435981
818	3.421236969
819	3.419147687
820	3.419008072
821	3.418382749
822	3.416502841
823	3.414516978
824	3.412664672
825	3.410519703
826	3.408915978
827	3.406277087
828	3.405616776
829	3.402857046
830	3.402812757
831	3.400486492
832	3.399423042
833	3.399016266
834	3.398408544
835	3.397503384
836	3.394779768
837	3.393483179
838	3.392933764
839	3.390779678
840	3.387830545
841	3.386746321
842	3.385840258
843	3.384800999
844	3.384563263
845	3.382438828
846	3.379915663
847	3.377051929
848	3.376098909
849	3.373362058
850	3.371493358
851	3.370201503
852	3.368966966
853	3.36847885
854	3.366778395
855	3.366640414
856	3.365059529
857	3.362185674
858	3.359503467
859	3.358457713
860	3.35672699
861	3.356382291
862	3.352623206
863	3.352302317
864	3.35210388
865	3.349125692
866	3.34734481
867	3.345546491
868	3.344405252
869	3.344060051
870	3.341993758
871	3.340502468
872	3.33868802
873	3.336442208
874	3.335196812
875	3.334933018
876	3.332990198
877	3.332160928
878	3.32963205
879	3.328923263
880	3.328803234
881	3.327653476
882	3.325818028
883	3.323762202
884	3.323180862
885	3.322304243
886	3.320807392
887	3.319389807
